author_id,cumulative_cited_by,author_name,affiliations,countries,number_of_articles,hysteresis,reflexivity_beck,reflexivity_ethnography,social_space,reflexivity_critical,symbolic_capital,reflexivity,cultural_production,doxa,emotional_capital,autonomy,reflexivity_standpoint,reflexivity_feminist,reflexivity_lynch,embodied_capital,reproduction,reflexivity_giddens,practice,reflexivity_lash,reflexivity_bourdieu,field_theory,cultural_capital,social_capital,illusio,relational_sociology,reflexivity_harding,body_capital,symbolic_power,reflexivity_intersectional,disposition,habitus,structural_homology
10044818600,471.0,"steinmetz, george",university of michigan; university of michigan.,united states,9,3.0,0.0,0.0,14.0,0.0,30.0,8.0,5.0,6.0,0.0,27.0,2.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,38.0,36.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,6.0
9635418700,471.0,"halkier, bente",roskilde university; university of copenhagen,denmark,3,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6602478607,470.0,"silbey, susan",department of sociology; massachusetts institute of technology,united states,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7005826259,468.0,"ganz, marshall",harvard university,united states,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6602751526,468.0,"shilling, chris",university of kent; university of portsmouth; university of southampton,united kingdom,9,0.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,1.0,0.0,5.0,9.0,3.0,1.0,0.0,0.0,37.0,0.0,0.0,3.0,42.0,0.0
6603363368,467.0,"tribe, john",the university of surrey; university of surrey,united kingdom,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6602985794,463.0,"maas, ineke",max planck inst. hum. devmt. educ.; utrecht university,germany; netherlands,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55456025800,457.0,"jackson, michelle",nuffield college; oxford university; stanford university; stockholm university,united kingdom; united states,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
8654644900,457.0,"roksa, josipa",university of virginia,united states,6,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0
7402104178,456.0,"david, miriam",university of keele; university of london,united kingdom,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
26530837600,453.0,"bonikowski, bart",harvard university; princeton university,united states,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6602181538,453.0,"monaghan, lee f.",newcastle university; social policy university of newcastle upon tyne; university of limerick,ireland; united kingdom,7,0.0,1.0,0.0,3.0,0.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,29.0,14.0,0.0,1.0,14.0,0.0
7004230904,449.0,"jessop, bob",lancaster university; university of lancaster,united kingdom,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
25621586300,446.0,"spaaij, ramÃ³n",la trobe university; victoria university,australia; netherlands,7,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,29.0,167.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,47.0,0.0
6506256972,438.0,"ferlander, sara",sÃ¶dertÃ¶rn university college,sweden,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7006423470,435.0,"fine, gary alan",northwestern university; university of georgia,united states,12,2.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,15.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
55494852500,435.0,"miller, daniel",university college london; university of college of london,united kingdom,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7101771612,435.0,"rodgers, dennis",university of glasgow,united kingdom,2,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58360432300,431.0,"davies, jackie",university of london,united kingdom,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
7003592159,430.0,"gubrium, jaber f.",university of florida; university of missouri,united states,3,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
7003885458,430.0,"holstein, james a.",marquette university,united states,3,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
14068347600,429.0,"brand, jennie e.",university of california-los angeles,united states,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7401874702,429.0,"hansen, marianne nordli",dept. of sociol. and human geography; university of oslo,norway,10,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56429410400,426.0,"abascal, maria",columbia university; new york university; princeton university,united states,4,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7006141819,425.0,"kingston, paul w.",university of virginia,united states,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201612172,424.0,"ryan, louise",middlesex university,united kingdom,2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6701445444,423.0,"loader, ian",keele university; university of oxford,united kingdom,4,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,2.0,0.0
6507121142,423.0,"bigo, didier",king's college; king's college london; kings college london,france; united kingdom; united states,4,1.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,10.0,4.0,0.0,18.0,0.0,0.0,29.0,1.0,0.0,6.0,15.0,0.0,0.0,1.0,0.0,0.0,84.0,24.0
6602327376,421.0,"burris, val",university of oregon,united states,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6701840147,420.0,"bruner, edward m.",university of illinois,united states,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57207509956,420.0,"macy, michael w.",cornell university,united states,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10042699900,420.0,"goldrick-rab, sara",university of wisconsin-madison,united states,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
